country_id,product_id,product_level,year,export_value,import_value,global_market_share,cog,distance,coi,eci,product_code,name_short_en,country,country_code,export_per_capita,rca,rank_per_capita,rank_rca,rank_market_share,rank_avg
148,100,2,2004,118547.0,19330.0,1.0680721424388143e-05,0.00015865076,0.9907709,-0.85929716,-1.0935677,1,live_animals,chad,TCD,0.0119502590514792,0.9209024243057252,48.0,118.0,77.0,81.0
430,100,2,2004,33749.0,131757.0,3.040681479511717e-06,0.20352621,0.9913915,-1.0981901,0.38028303,1,live_animals,liberia,LBR,0.0106905779481844,0.0338972809438453,45.0,52.0,58.0,51.66666666666666
434,100,2,2004,77122.0,2130836.0,6.94845586722281e-06,0.21353324,0.99008554,-1.2025023,-0.4390542,1,live_animals,libya,LBY,0.0134436338148128,0.1046135856292979,50.0,72.0,66.0,62.66666666666666
148,100,2,2005,11067.0,17827.0,8.921151038451436e-07,0.00012938841,0.99331826,-0.8830966,-2.1473014,1,live_animals,chad,TCD,0.0010715435145233,0.0950237648079336,28.0,62.0,42.0,44.0
430,100,2,2005,471327.0,153657.0,3.799384978314087e-05,0.16862638,0.9836373,-1.072011,-0.3792415,1,live_animals,liberia,LBR,0.1427824472169923,0.4311287283325125,95.0,96.0,97.0,96.0
434,100,2,2005,8180.0,2282504.0,6.593929293804351e-07,0.10365244,0.98401004,-1.1295236,-0.26173174,1,live_animals,libya,LBY,0.0013961908227592,0.0135721189979519,32.0,40.0,37.0,36.333333333333336
148,100,2,2006,15382.0,15063.0,1.127474340338906e-06,0.0007886093,0.99472576,-0.94541234,-3.2049026,1,live_animals,chad,TCD,0.0014367075318519,0.188105956807037,37.0,85.0,55.0,59.0
430,100,2,2006,37548.0,191931.0,2.752204299248813e-06,0.2517673,0.9874377,-1.1102006,-0.77958673,1,live_animals,liberia,LBR,0.0107563136908668,0.0431762206061256,57.0,63.0,63.0,61.0
434,100,2,2006,27221.0,5969515.0,1.995252829174708e-06,0.2458057,0.9885919,-1.1406137,-0.45099294,1,live_animals,libya,LBY,0.0045518460803473,0.0113507045690588,45.0,47.0,59.0,50.333333333333336
148,100,2,2007,1390.0,34305.0,9.216955203728922e-08,0.00065362663,0.9939262,-0.9429886,-2.5004153,1,live_animals,chad,TCD,0.0001254324713084,0.0207626944370913,27.0,53.0,38.0,39.333333333333336
430,100,2,2007,0.0,349946.0,0.0,0.26048815,0.9874447,-1.1624006,-1.0696622,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
